word,prob_female,prob_male,prob_female_adj,prob_male_adj,LLR
magistra,3.183267706599418e-4,0,3.183267706599418e-4,1e-10,-14.973418807848365
hfo,2.4342635403407323e-4,0,2.4342635403407323e-4,1e-10,-14.705154821253686
kathr,1.6852593740820454e-4,0,1.6852593740820454e-4,1e-10,-14.337430041128368
wehrdien,0,1.5168662039564637e-4,1e-10,1.5168662039564637e-4,14.232157056653582
kurdisch,1.1235062493880302e-4,0,1.1235062493880302e-4,1e-10,-13.931964933020204
madchengymnasium,1.1235062493880302e-4,0,1.1235062493880302e-4,1e-10,-13.931964933020204
arzthelf,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
asf,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
europacup,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
fsu,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
kindergartn,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
muttergenesungswerk,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
unterstufenlehr,9.362552078233586e-5,0,9.362552078233586e-5,1e-10,-13.749643376226249
cradl,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
crawford,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
dienstleistungsgewerkschaft,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
feminist,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
gend,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
governanc,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
grosskuch,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
harten,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
kas,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
medienpreis,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
oberlyzeum,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
puttling,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
sonderpadagog,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
uberhangmandat,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
viernheim,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
voith,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
ward,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
wittstock,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
wom,7.490041662586868e-5,0,7.490041662586868e-5,1e-10,-13.52649982491204
zivildien,0,7.150940675794748e-5,1e-10,7.150940675794748e-5,13.480169376070702
studentenverbind,0,7.096766882796312e-5,1e-10,7.096766882796312e-5,13.472564776685484
alp,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
anzahl,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
apothekenhelf,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
auslanderbeauftragt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
auslandsburo,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
auszug,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
bachelorarbeit,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
bmwi,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
bordeaux,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
briefwahl,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
cornelius,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
dehnberg,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
dermatologi,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
dolmetscherinstitut,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
dvg,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
echterding,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
erbil,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
familienpaus,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
feriendien,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
ficht,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
fild,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
fremdsprachensekretar,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
globalisierungskrit,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
grossprojekt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
gymnastiklehr,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
handelsorganisation,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
havelland,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
hilbrecht,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
innenarchitekt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
jugendbehord,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
kammerei,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
kennenlernt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
koordinierungskreis,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
krosigk,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
kunstpreis,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
ladson,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
lebensmittelsich,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
liebknecht,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
maryland,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
mdl,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
nis,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
pakistan,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
pharmakologi,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
pieck,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
pinochet,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
radiologi,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
redaktionssekretar,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
regieassistent,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
rotationsprinzip,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
rubenberg,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
rush,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
schwangerschaft,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
schwarzheid,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
senatorenamt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
sonderschullehr,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
sorbisch,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
studienanstalt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
stutthof,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
systemanalyt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
tochterschul,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
uexkull,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
uno,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
unterrichtsfach,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
waldkirch,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
wallersdorf,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
weilt,5.617531246940151e-5,0,5.617531246940151e-5,1e-10,-13.238817752460259
