"country","pageid","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace","wiki_url"
"DEU",174000,"Q340387","Achim_Großmann","Achim Großmann","male",NA,"catholicism","1947-04-17",NA,"50.77621,6.08379",NA,"https://de.wikipedia.org/wiki/Achim_Großmann"
"DEU",9980355,"Q39678866","Achim_Kessler","Achim Kessler","male","white",NA,"1964-08-02",NA,"48.12472,8.33083",NA,"https://de.wikipedia.org/wiki/Achim_Kessler"
"DEU",5166669,"Q340448","Achim_Post","Achim Post","male","white","protestantism lutheran","1959-05-02",NA,"52.41667,8.61667",NA,"https://de.wikipedia.org/wiki/Achim_Post"
"DEU",2725661,"Q347391","Adalbert_Hudak","Adalbert Hudak","male",NA,"protestantism evangelical","1911-09-25","1986-03-27","49.11139,20.36056","49.45278,11.07778","https://de.wikipedia.org/wiki/Adalbert_Hudak"
"DEU",261258,"Q354647","Adelheid_Tröscher","Adelheid D. Tröscher","female",NA,NA,"1939-02-16",NA,"52.51667,13.38333",NA,"https://de.wikipedia.org/wiki/Adelheid_Tröscher"
"DEU",11924573,"Q96096131","Adis_Ahmetovic","Adis Ahmetovic","male",NA,NA,"1993-07-27",NA,"52.37444,9.73861",NA,"https://de.wikipedia.org/wiki/Adis_Ahmetovic"
"DEU",171957,"Q360721","Adolf_Ahrens_(Kapitän)","Adolf Ahrens","male",NA,"protestantism evangelical","1879-09-17","1957-01-21","53.5364,8.60056","53.07694,8.80889","https://de.wikipedia.org/wiki/Adolf_Ahrens_(Kapitän)"
"DEU",172137,"Q90819","Adolf_Arndt","Adolf Arndt","male","white",NA,"1904-03-12","1974-02-13","54.71667,20.51667","51.31578,9.49792","https://de.wikipedia.org/wiki/Adolf_Arndt"
"DEU",237992,"Q101981","Adolf_Bieringer","Adolf Bieringer","male",NA,"catholicism","1928-08-29","1988-02-12","48.9614,8.29139","49.13333,8.6","https://de.wikipedia.org/wiki/Adolf_Bieringer"
"DEU",237180,"Q361159","Adolf_Cillien","Adolf Cillien","male","white","protestantism evangelical","1893-04-23","1960-04-29","48.94694,7.29861","52.37444,9.73861","https://de.wikipedia.org/wiki/Adolf_Cillien"
